Half,Clock,Play,Score,game_id,home_id,away_id
1,03:25,"2pt dunk (blocked) (in the paint) missed by Quincy Guerrier(ILL), block Felix Okpara(OSU), rebound offensive Ty Rodgers(ILL)",27 - 25,5252651,560955,561008
1,03:36,"2pt hook shot (in the paint) missed by Felix Okpara(OSU), rebound defensive Quincy Guerrier(ILL)",27 - 25,5252651,560955,561008
1,03:58,"2pt floating jump shot (2nd chance) (in the paint) missed by Terrence Shannon Jr.(ILL), rebound defensive Zed Key(OSU)",27 - 25,5252651,560955,561008
1,04:03,"3pt jump shot (outside right) missed by Marcus Domask(ILL), rebound offensive Terrence Shannon Jr.(ILL)",27 - 25,5252651,560955,561008
1,04:21,"2pt alley oop (under the basket) made by Felix Okpara(OSU), assist Bruce Thornton(OSU)",27 - 25,5252651,560955,561008
1,04:41,"Free throw 2 of 2 missed by Quincy Guerrier(ILL), rebound defensive Felix Okpara(OSU)",25 - 25,5252651,560955,561008
1,04:41,Substitution OSU: in Felix Okpara,25 - 25,5252651,560955,561008
1,04:41,Substitution OSU: out Evan Mahaffey,25 - 25,5252651,560955,561008
1,04:41,Substitution ILL: in Ty Rodgers,25 - 25,5252651,560955,561008
1,04:41,Substitution ILL: out Justin Harmon,25 - 25,5252651,560955,561008
1,04:41,"Free throw 1 of 2 missed by Quincy Guerrier(ILL), rebound offensive dead ball ILL",25 - 25,5252651,560955,561008
1,04:41,Foul personal (loose ball;2 free throws) (back court) Evan Mahaffey(OSU),25 - 25,5252651,560955,561008
1,04:45,"2pt pull up jump shot (off turnover) (inside right) missed by Scotty Middleton(OSU), rebound defensive (team) ILL",25 - 25,5252651,560955,561008
1,04:56,Turnover travel (in the paint) Dain Dainja(ILL),25 - 25,5252651,560955,561008
1,05:17,Free throw 1 of 1 (2nd chance) made by Zed Key(OSU),25 - 25,5252651,560955,561008
1,05:17,Substitution ILL: in Quincy Guerrier,24 - 25,5252651,560955,561008
1,05:17,Substitution ILL: out Coleman Hawkins,24 - 25,5252651,560955,561008
1,05:17,Foul personal (shooting;1 free throw) (under the basket) Dain Dainja(ILL),24 - 25,5252651,560955,561008
1,05:17,2pt layup (2nd chance) (under the basket) made by Zed Key(OSU),24 - 25,5252651,560955,561008
1,05:19,"2pt layup (under the basket) missed by Evan Mahaffey(OSU), rebound offensive Zed Key(OSU)",22 - 25,5252651,560955,561008
1,05:41,"Free throw 1 of 1 (2nd chance) missed by Coleman Hawkins(ILL), rebound defensive Zed Key(OSU)",22 - 25,5252651,560955,561008
1,05:43,Substitution OSU: in Evan Mahaffey,22 - 25,5252651,560955,561008
1,05:43,Substitution OSU: in Dale Bonner,22 - 25,5252651,560955,561008
1,05:43,Substitution OSU: out Devin Royal,22 - 25,5252651,560955,561008
1,05:43,Substitution OSU: out Roddy Gayle Jr.,22 - 25,5252651,560955,561008
1,05:43,Foul personal (one and one) (in the paint) Devin Royal(OSU),22 - 25,5252651,560955,561008
1,05:44,"2pt pull up jump shot (in the paint) missed by Terrence Shannon Jr.(ILL), rebound offensive Coleman Hawkins(ILL)",22 - 25,5252651,560955,561008
1,05:59,"2pt dunk (off turnover;fast break) (under the basket) made by Roddy Gayle Jr.(OSU), assist Scotty Middleton(OSU)",22 - 25,5252651,560955,561008
1,06:04,"Turnover lost ball (outside center) Coleman Hawkins(ILL), steal Scotty Middleton(OSU)",20 - 25,5252651,560955,561008
1,06:14,"2pt pull up jump shot (inside right) missed by Justin Harmon(ILL), rebound offensive Terrence Shannon Jr.(ILL)",20 - 25,5252651,560955,561008
1,06:38,"2pt turnaround jump shot (off turnover) (in the paint) made by Devin Royal(OSU), assist Scotty Middleton(OSU), assist Bruce Thornton(OSU)",20 - 25,5252651,560955,561008
1,06:49,"Turnover lost ball (inside right) Terrence Shannon Jr.(ILL), steal Bruce Thornton(OSU)",18 - 25,5252651,560955,561008
1,06:58,"2pt pull up jump shot (in the paint) missed by Bruce Thornton(OSU), rebound defensive Dain Dainja(ILL)",18 - 25,5252651,560955,561008
1,07:14,Free throw 2 of 2 made by Dain Dainja(ILL),18 - 25,5252651,560955,561008
1,07:14,Free throw 1 of 2 made by Dain Dainja(ILL),18 - 24,5252651,560955,561008
1,07:14,Foul personal (shooting;2 free throws) (in the paint) Bruce Thornton(OSU),18 - 23,5252651,560955,561008
1,07:32,"Free throw 2 of 2 (2nd chance) missed by Zed Key(OSU), rebound defensive Marcus Domask(ILL)",18 - 23,5252651,560955,561008
1,07:32,Substitution ILL: in Marcus Domask,18 - 23,5252651,560955,561008
1,07:32,Substitution ILL: out Ty Rodgers,18 - 23,5252651,560955,561008
1,07:32,Free throw 1 of 2 (2nd chance) made by Zed Key(OSU),18 - 23,5252651,560955,561008
1,07:32,"Foul personal (shooting;2 free throws) (in the paint) Dain Dainja(ILL), foul on Zed Key(OSU)",18 - 23,5252651,560955,561008
1,07:39,Timeout commercial,17 - 23,5252651,560955,561008
1,07:42,"3pt jump shot (outside left) missed by Roddy Gayle Jr.(OSU), rebound offensive (team) OSU",17 - 23,5252651,560955,561008
1,07:49,"3pt jump shot (outside left) missed by Coleman Hawkins(ILL), rebound defensive Bruce Thornton(OSU)",17 - 23,5252651,560955,561008
1,07:57,"2pt turnaround jump shot (inside left) missed by Scotty Middleton(OSU), rebound defensive Dain Dainja(ILL)",17 - 23,5252651,560955,561008
1,08:16,Free throw 1 of 1 (fast break;off turnover) made by Terrence Shannon Jr.(ILL),17 - 23,5252651,560955,561008
1,08:16,Substitution OSU: in Devin Royal,17 - 22,5252651,560955,561008
1,08:16,Substitution OSU: out Evan Mahaffey,17 - 22,5252651,560955,561008
1,08:16,Substitution ILL: in Justin Harmon,17 - 22,5252651,560955,561008
1,08:16,Substitution ILL: out Marcus Domask,17 - 22,5252651,560955,561008
1,08:16,Foul personal (shooting;1 free throw) (under the basket) Evan Mahaffey(OSU),17 - 22,5252651,560955,561008
1,08:16,2pt driving layup (off turnover;fast break) (under the basket) made by Terrence Shannon Jr.(ILL),17 - 22,5252651,560955,561008
1,08:20,"Turnover bad pass (in the paint) Roddy Gayle Jr.(OSU), steal Terrence Shannon Jr.(ILL)",17 - 20,5252651,560955,561008
1,08:27,"Free throw 2 of 2 missed by Coleman Hawkins(ILL), rebound defensive Roddy Gayle Jr.(OSU)",17 - 20,5252651,560955,561008
1,08:28,Substitution OSU: in Zed Key,17 - 20,5252651,560955,561008
1,08:28,Substitution OSU: in Scotty Middleton,17 - 20,5252651,560955,561008
1,08:28,Substitution OSU: out Felix Okpara,17 - 20,5252651,560955,561008
1,08:28,Substitution OSU: out Jamison Battle,17 - 20,5252651,560955,561008
1,08:28,Substitution ILL: in Dain Dainja,17 - 20,5252651,560955,561008
